week,pub_date,title,teaser,url
20,5/14/2014,Home Is Where You Hang Your Apron,"Whether it's across town or across the ocean, moving is unsettling. But re-creating a meaningful meal - one that connects us to childhood, traditions or travels - can make us feel at home anywhere.",http://www.npr.org/2014/05/14/312171592/home-is-where-you-hang-your-apron
19,5/7/2014,It's Time To Toast Farm-To-Table Cocktails,"When you're at the farmers market, look at the seasonal produce as potential drink, as well as dinner, material. What goes into a craft cocktail? For starters, fresh juice, fruits and herbs.",http://www.npr.org/2014/05/07/310112878/its-time-to-toast-farm-to-table-cocktails
18,4/30/2014,Sweet On Sundaes,"With these ice cream desserts, it's the construction, not the cooking, that counts. They're a teensy bit fancy, but not too dressed up for a picnic or a barbecue.",http://www.npr.org/2014/04/30/308269627/sweet-on-sundaes
17,4/23/2014,"In Tasmania, A Food Bounty As Spectacular As The Scenery","The Australian state known for its marsupial ""devil"" has a local food scene that might be described as heavenly. If you can't try it person, get a taste with these Tasmania-inspired recipes.",http://www.npr.org/2014/04/23/305951443/in-tasmania-a-food-bounty-as-spectacular-as-the-scenery
16,4/16/2014,Sous Vide Makes Its Way To The Home Kitchen,"This cooking method - a strange mix of the precise and the forgiving - means never having to worry about rubbery, overcooked meats. But mind your eyebrows while you're holding the blowtorch.",http://www.npr.org/2014/04/16/303375721/sous-vide-makes-its-way-to-the-home-kitchen
15,4/9/2014,Some Appetizing Nibbles For Pre-Seder Snacking,"Passover's ceremonious meal can take a very long time. Small bites with traditional ingredients can help sustain dinner guests, with a nod to the holiday's meaning and to the spirit of hospitality.",http://www.npr.org/2014/04/09/300599655/some-appetizing-nibbles-for-pre-seder-snacking
14,4/2/2014,How To Get To Sesame Treats: Open A Can Of Tahini,"This sesame-seed paste isn't just for making hummus and that tangy sauce on your falafel. Like butter or mayo but with a nutty kick, it's a rich addition to baked goods, a warm salad and more.",http://www.npr.org/2014/04/02/297840650/how-to-get-to-sesame-treats-open-a-can-of-tahini
13,3/26/2014,The Secret To These Sauces Is Nuts,"What do lemony aioli, red pepper sauce and herb gravy have in common? These versions owe their smooth, creamy consistency to nuts. Even if you're vegan or gluten-free, they've got you covered.",http://www.npr.org/2014/03/26/294339184/the-secret-to-these-sauces-is-nuts
12,3/19/2014,Oranges: Secret Agents Of The Food World,"Like an international secret agent, the zest of tangerines and mandarins and oranges finds its way into Szechuan stir-fries, Mesopotamian couscous and Iberian sweets.",http://www.npr.org/2014/03/19/291153602/oranges-secret-agents-of-the-food-world
11,3/12/2014,Spirited Sweets For St. Patrick's (Or Any) Day,"The typical green-themed cookie or cupcake is no match for these alcohol-infused treats. Celebrate with Kahlua cake, a mint-liqueur milkshake, wine-soaked fruit salad or beer-glazed bacon candy.",http://www.npr.org/2014/03/12/289084832/spirited-sweets-for-st-patricks-or-any-day
10,3/5/2014,Salt Cod: The Prosciutto Of The Sea?,"Why eat preserved cod when fresh is so readily available? The salt transforms it into savory, complex comfort food, and nearly every country bordering the Atlantic Ocean has a version of it.",http://www.npr.org/2014/03/05/285784554/salt-cod-the-prosciutto-of-the-sea
9,2/26/2014,Fat Tuesday: The Many Different Doughnuts Of Mardi Gras,"On the day of indulgence before the austere season of Lent, celebrate as you're meant to: with a hearty helping of dough and fat.",http://www.npr.org/2014/02/26/282908382/fat-tuesday-the-many-different-doughnuts-of-mardi-gras
8,2/19/2014,"Once Exotic, Now Ubiquitous, Bananas Deserve A Bunch More Respect","They're creamy, delicious, full of nutrients - and, as a crop, they have a complex history. But banana enthusiast Laura B. Weiss keeps it simple in her appreciation of America's No. 1 fruit, with sweet suggestions for breakfast and dessert.",http://www.npr.org/2014/02/18/279217361/once-exotic-now-ubiquitous-bananas-deserve-a-bunch-more-respect
7,2/12/2014,Valentine Hearts That Are Meant To Be Broken,"These edible treasures would be too pretty to eat - if they weren't so delicious. Bake a batch of gingerbread or shortbread hearts, bedeck them with royal icing - and if it suits your mood, break them in half before devouring them.",http://www.npr.org/2014/02/12/275356369/valentine-hearts-that-are-meant-to-be-broken
6,2/5/2014,A Meal To Honor Early African-American Cookbook Authors,"Books published in the 19th and early 20th centuries brought Amanda Moniz back to a food career she thought she had left behind. Inspired by their recipes - and, she says, by their pursuit of independence through cooking and writing - the former pastry chef sets a table for Black History Month.",http://www.npr.org/2014/02/05/271531627/a-meal-to-honor-early-african-american-cookbook-authors
5,1/29/2014,Get Extra Points For Super Bowls Of Dips And Spreads,"Cooking for a crowd for the big game? Put away the pots and pans, and turn to these party-friendly dishes. Then you can settle onto the couch in front of the TV instead of getting stuck in the kitchen.",http://www.npr.org/2014/01/29/268191256/get-extra-points-for-super-bowls-of-dips-and-spreads
4,1/22/2014,Sea Scallops: A Winter Treat From Maine's Chilly Waters,"This fresh, fleeting delicacy, harvested through March, softens the harsh blow of winter. One or two large, plump scallops - raw, seared or tucked in crisp, maple-roasted bacon - can serve as the crowning jewels of a dish.",http://www.npr.org/2014/01/21/264552925/sea-scallops-a-winter-treat-from-maines-chilly-waters
3,1/14/2014,Maple Syrup Goes To Dinner - And Drinks,"The breakfast staple makes a move to the grown-ups' table, punching up a pork roast and veggies, pecan pie and a cocktail.",http://www.npr.org/2014/01/15/262478507/maple-syrup-goes-to-dinner-and-drinks
2,1/8/2014, Leftover Liquor Finds New Life As Liqueur,"Take out the idling bottles of spirits in your home bar and make something exciting. There's no distilling or science involved - just fresh fruits, spices, herbs and more, plus ample alcohol and a bit of time for infusing.",http://www.npr.org/2014/01/08/260728034/leftover-liquor-finds-new-life-as-liqueur
1,12/31/2013,"Cooking With A Cup O' Kindness (Beer, Cider Or Booze)","With these tipply dishes, a spirited New Year's can come from the kitchen as well as the bar.",http://www.npr.org/2014/01/01/258686019/cooking-with-a-cup-o-kindness-beer-cider-or-booze
52,12/24/2013,Come Back For A 2nd Helping Of This Year's Favorites,"From buttermilk to Brussels sprouts, DIY yogurt to nostalgic sweets, here's a roundup of Kitchen Window's most-clicked stories of 2013.",http://www.npr.org/2013/12/25/256903703/come-back-for-a-2nd-helping-of-this-years-favorites
